aqi,no,no2,o3,so2,pm2_5,pm10,nh3,date,lat,lon
5,0.0,18.51,51.5,33.85,80.85,97.29,6.14,2023-07-18 20:21:09 UTC,-25.7449,28.1878
5,2.01,87.05,10.28,122.07,199.67,246.28,27.61,2023-07-18 20:21:10 UTC,-26.2023,28.0436
4,0.0,16.97,65.8,22.89,66.51,82.85,4.69,2023-07-18 20:21:12 UTC,-25.8589,28.1858
4,0.0,16.97,65.8,22.89,66.51,82.85,4.69,2023-07-18 20:21:12 UTC,-25.9636,28.1378
4,0.0,27.76,68.67,24.8,63.64,87.49,4.75,2023-07-18 20:21:13 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 20:38:14 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 20:38:15 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:38:15 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:38:18 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 20:38:19 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 20:48:20 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 20:48:20 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:48:21 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:48:22 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 20:48:24 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 20:58:27 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 20:58:27 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:58:31 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 20:58:32 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 20:58:36 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 21:08:37 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 21:08:38 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:08:39 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:08:40 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 21:08:45 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 21:18:46 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 21:18:47 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:18:48 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:18:49 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 21:18:50 UTC,-26.0545,28.0589
5,0.0,21.94,42.92,36.24,87.31,105.79,7.09,2023-07-18 21:28:51 UTC,-25.7449,28.1878
5,5.53,82.25,3.89,117.3,228.64,281.65,30.15,2023-07-18 21:28:52 UTC,-26.2023,28.0436
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:28:52 UTC,-25.8589,28.1858
4,0.0,20.05,51.5,24.8,72.06,91.53,6.02,2023-07-18 21:28:54 UTC,-25.9636,28.1378
4,0.0,31.87,51.5,26.46,69.45,99.52,6.14,2023-07-18 21:28:55 UTC,-26.0545,28.0589
